Name,Overall Score,Miles,Duration,Highway %,City %,Idle Time,Idling %,Idling Score,Speeding Score,Highway 1-5 %,Highway 6-10 %,Highway 11-14 %,Highway 15+ %,Highway Score,City 1-5 %,City 6-10 %,City 11-14 %,City 15+ %,City Score,Acceleration,Braking,Aggression Score
PJPB,76.2,1.9,11:27,0,0,10:54,95.2,4.8,100,0,0,0,0,100,0,0,0,0,100,0,0,100
JAHU,78.7,0,3:45,0,0,3:12,85.3,14.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
QARI,79.1,782.5,111:34:00,0,0,83:09:00,74.5,25.5,100,0,0,0,0,100,0,0,0,0,100,0,2,91.1
CJBR,79.7,0.1,0:16,0,0,0:13,81.3,18.8,100,0,0,0,0,100,0,0,0,0,100,0,0,100
LPZQ,80.1,710.3,31:11:00,0,0,5:59,19.2,80.8,100,0,0,0,0,100,0,0,0,0,100,18,2,39.5
SPXU,80.8,0.1,0:30,0,0,0:23,76.7,23.3,100,0,0,0,0,100,0,0,0,0,100,0,0,100
FGKX,81.8,1929,111:24:00,0,0,41:55:00,37.6,62.4,100,0,0,0,0,100,0,0,0,0,100,27,4,64.7
VPVL,82.4,719.6,73:14:00,0,0,38:28:00,52.5,47.5,100,0,0,0,0,100,0,0,0,0,100,3,2,81.9
EBNU,82.6,303.7,24:16:00,0,0,12:28,51.4,48.6,100,0,0,0,0,100,0,0,0,0,100,1,1,81.9
ZLMC,83.9,1107.6,90:38:00,0,0,55:32:00,61.3,38.7,100,0,0,0,0,100,0,0,0,0,100,0,1,96.8
KHFI,84,590.8,67:34:00,0,0,43:12:00,63.9,36.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
OKZV,84,683,84:19:00,0,0,49:34:00,58.8,41.2,100,0,0,0,0,100,0,0,0,0,100,0,1,94.9
BJVK,84.1,1024.2,84:43:00,0,0,43:05:00,50.9,49.1,100,0,0,0,0,100,0,0,0,0,100,3,2,87.3
QVOD,84.2,1247.4,123:49:00,0,0,78:10:00,63.1,36.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
RGYU,84.3,1159.5,103:17:00,0,0,64:57:00,62.9,37.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
ONIZ,84.3,1611.8,116:49:00,0,0,73:10:00,62.6,37.4,100,0,0,0,0,100,0,0,0,0,100,0,0,100
RDEB,84.5,720.7,57:12:00,0,0,29:29:00,51.5,48.5,100,0,0,0,0,100,0,0,0,0,100,2,1,89.6
XEAU,84.7,2063.9,140:09:00,0,0,83:14:00,59.4,40.6,100,0,0,0,0,100,0,0,0,0,100,0,1,98.3
RCWU,85.2,870.7,52:45:00,0,0,22:44,43.1,56.9,100,0,0,0,0,100,0,0,0,0,100,0,4,83.9
YPZT,85.4,1142,106:12:00,0,0,62:08:00,58.5,41.5,100,0,0,0,0,100,0,0,0,0,100,0,0,100
BHVQ,85.7,391.1,40:12:00,0,0,23:02,57.3,42.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
GXBR,85.8,1253.7,108:13:00,0,0,58:09:00,53.7,46.3,100,0,0,0,0,100,0,0,0,0,100,2,0,96.8
TXFC,85.9,1315.8,78:35:00,0,0,44:13:00,56.3,43.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
XOHW,86,1116,90:50:00,0,0,51:02:00,56.2,43.8,100,0,0,0,0,100,0,0,0,0,100,0,0,100
MQUE,86.2,1768.1,94:29:00,0,0,41:39:00,44.1,55.9,100,0,0,0,0,100,0,0,0,0,100,1,5,89
TIVC,86.6,1409,88:26:00,0,0,45:21:00,51.3,48.7,100,0,0,0,0,100,0,0,0,0,100,0,1,97.5
WZEY,86.6,1629,110:39:00,0,0,59:17:00,53.6,46.4,100,0,0,0,0,100,0,0,0,0,100,0,0,100
MNRB,86.8,1629.4,97:12:00,0,0,42:41:00,43.9,56.1,100,0,0,0,0,100,0,0,0,0,100,2,3,91.1
QFWL,86.8,2341.4,120:07:00,0,0,61:33:00,51.2,48.8,100,0,0,0,0,100,0,0,0,0,100,0,1,98.5
JSZX,86.9,1451.4,94:09:00,0,0,49:31:00,52.6,47.4,100,0,0,0,0,100,0,0,0,0,100,0,0,100
VFIT,86.9,2550.8,98:32:00,0,0,40:50:00,41.4,58.6,100,0,0,0,0,100,0,0,0,0,100,12,1,89.2
REFF,87,1422.6,102:07:00,0,0,50:09:00,49.1,50.9,100,0,0,0,0,100,0,0,0,0,100,2,0,97.2
JDRT,87.3,1573.5,61:14:00,0,0,28:27:00,46.5,53.5,100,0,0,0,0,100,0,0,0,0,100,0,2,95.6
PRTS,87.4,1301.4,79:02:00,0,0,37:42:00,47.7,52.3,100,0,0,0,0,100,0,0,0,0,100,0,1,97.3
LMMA,87.5,1508.9,97:43:00,0,0,45:17:00,46.3,53.7,100,0,0,0,0,100,0,0,0,0,100,1,1,96.4
NESS,87.5,918,38:57:00,0,0,19:28,50,50,100,0,0,0,0,100,0,0,0,0,100,0,0,100
YPRD,87.7,1864,90:39:00,0,0,43:40:00,48.2,51.8,100,0,0,0,0,100,0,0,0,0,100,1,0,98.9
BNSH,87.9,2224.3,67:28:00,0,0,18:21,27.2,72.8,100,0,0,0,0,100,0,0,0,0,100,15,5,78.6
CSFP,87.9,1703.1,94:22:00,0,0,43:38:00,46.2,53.8,100,0,0,0,0,100,0,0,0,0,100,0,1,97.9
CONH,88,1247,72:30:00,0,0,34:48:00,48,52,100,0,0,0,0,100,0,0,0,0,100,0,0,100
BBHM,88,3620.4,135:16:00,0,0,64:40:00,47.8,52.2,100,0,0,0,0,100,0,0,0,0,100,0,0,100
HLXW,88.1,787.2,52:35:00,0,0,22:39,43.1,56.9,100,0,0,0,0,100,0,0,0,0,100,0,1,95.6
YSIR,88.2,776.2,54:41:00,0,0,25:52:00,47.3,52.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
HWNX,88.2,694.7,51:15:00,0,0,24:06:00,47,53,100,0,0,0,0,100,0,0,0,0,100,0,0,100
LEAE,88.3,1452.8,97:50:00,0,0,45:45:00,46.8,53.2,100,0,0,0,0,100,0,0,0,0,100,0,0,100
XHAO,88.4,1686.2,98:07:00,0,0,41:25:00,42.2,57.8,100,0,0,0,0,100,0,0,0,0,100,0,2,95.8
ZXYE,88.4,1453.2,85:35:00,0,0,36:23:00,42.5,57.5,100,0,0,0,0,100,0,0,0,0,100,1,1,96.2
BMKB,88.4,673,48:54:00,0,0,22:38,46.3,53.7,100,0,0,0,0,100,0,0,0,0,100,0,0,100
MHDE,88.5,1012.9,67:45:00,0,0,31:12:00,46.1,53.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
DCHI,88.5,2018.7,82:03:00,0,0,37:44:00,46,54,100,0,0,0,0,100,0,0,0,0,100,0,0,100
FBKB,88.5,1630.2,100:42:00,0,0,46:17:00,46,54,100,0,0,0,0,100,0,0,0,0,100,0,0,100
LCNM,88.6,1323.1,48:48:00,0,0,21:02,43.1,56.9,100,0,0,0,0,100,0,0,0,0,100,0,1,97.4
LLZI,88.6,1106.7,81:13:00,0,0,37:04:00,45.6,54.4,100,0,0,0,0,100,0,0,0,0,100,0,0,100
CNEV,88.6,1638.5,105:43:00,0,0,45:50:00,43.4,56.6,100,0,0,0,0,100,0,0,0,0,100,0,1,97.9
NUKT,88.7,1176.9,72:24:00,0,0,31:35:00,43.6,56.4,100,0,0,0,0,100,0,0,0,0,100,1,0,98.3
EEWA,88.7,2074,84:37:00,0,0,38:11:00,45.1,54.9,100,0,0,0,0,100,0,0,0,0,100,0,0,100
CZQN,88.7,2828.9,149:41:00,0,0,65:39:00,43.9,56.1,100,0,0,0,0,100,0,0,0,0,100,0,1,98.8
DIOK,88.8,3432.8,135:17:00,0,0,59:01:00,43.6,56.4,100,0,0,0,0,100,0,0,0,0,100,0,1,99
ZBUK,88.9,1907,90:41:00,0,0,40:19:00,44.5,55.5,100,0,0,0,0,100,0,0,0,0,100,0,0,100
OFTH,88.9,1512.6,74:43:00,0,0,33:11:00,44.4,55.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
KSUX,89,1139,78:58:00,0,0,32:07:00,40.7,59.3,100,0,0,0,0,100,0,0,0,0,100,2,0,96.5
LXQD,89,1401,71:45:00,0,0,31:36:00,44,56,100,0,0,0,0,100,0,0,0,0,100,0,0,100
STXZ,89,2107.3,99:04:00,0,0,40:39:00,41,59,100,0,0,0,0,100,0,0,0,0,100,3,0,97.2
KPUK,89,1904.5,79:37:00,0,0,32:00:00,40.2,59.8,100,0,0,0,0,100,0,0,0,0,100,0,2,96.3
RLXJ,89.1,2396.6,81:28:00,0,0,35:28:00,43.5,56.5,100,0,0,0,0,100,0,0,0,0,100,0,0,100
RCSY,89.2,855.1,70:40:00,0,0,29:01:00,41.1,58.9,100,0,0,0,0,100,0,0,0,0,100,1,0,97.7
VBLI,89.2,1323.6,78:42:00,0,0,31:56:00,40.6,59.4,100,0,0,0,0,100,0,0,0,0,100,0,1,97.4
TTZP,89.3,0.2,0:07,0,0,0:03,42.9,57.1,100,0,0,0,0,100,0,0,0,0,100,0,0,100
LADG,89.3,2061.4,91:47:00,0,0,34:37:00,37.7,62.3,100,0,0,0,0,100,0,0,0,0,100,0,3,94.9
SZEB,89.4,1472.2,69:18:00,0,0,29:25:00,42.4,57.6,100,0,0,0,0,100,0,0,0,0,100,0,0,100
